2014:01:14::01:04:21:054	-68.29705	13552.22915	59.81382	
2014:01:14::01:04:21:304	-67.62879	13987.37002	59.88974	
2014:01:14::01:04:21:554	-64.06883	14150.41261	60.37993	
2014:01:14::01:04:21:805	-63.89394	14657.77372	60.86608	
2014:01:14::01:04:22:055	-63.73206	14819.43903	61.35223	
2014:01:14::01:04:22:305	-60.44342	15252.15967	61.37472	
2014:01:14::01:04:22:555	-60.02930	15634.07867	61.65362	
2014:01:14::01:04:22:805	-53.46817	15658.66351	62.20168	
2014:01:14::01:04:23:055	-53.30668	16018.23727	62.28256	
2014:01:14::01:04:23:305	-52.67792	16409.19184	62.95372	
2014:01:14::01:04:23:555	-51.87022	16660.87038	62.95372	
2014:01:14::01:04:23:805	-51.47451	16747.71149	63.62487	
2014:01:14::01:04:24:055	-50.32768	16924.96462	64.36525	
2014:01:14::01:04:24:305	-48.54621	17062.95115	64.40056	
2014:01:14::01:04:24:556	-46.90773	17098.39140	64.40401	
2014:01:14::01:04:24:807	-46.79571	18538.27107	64.60122	
2014:01:14::01:04:25:057	-45.05541	18629.15180	65.36849	
2014:01:14::01:04:25:308	-43.08362	19350.86386	66.13575	
2014:01:14::01:04:25:558	-42.34696	19386.38931	66.69061	
2014:01:14::01:04:25:808	-40.03505	19424.76825	66.86700	
2014:01:14::01:04:26:059	-39.29211	20206.02294	67.87370	
2014:01:14::01:04:26:309	-37.30930	20352.67769	68.33342	
2014:01:14::01:04:26:559	-34.45076	20370.44680	68.74116	
2014:01:14::01:04:26:809	-34.15456	20405.57031	69.48882	
2014:01:14::01:04:27:059	-30.51542	20573.17673	69.66595	
2014:01:14::01:04:27:309	-29.58453	20582.02301	69.73458	
2014:01:14::01:04:27:560	-28.25729	20605.55207	70.35280	
2014:01:14::01:04:27:810	-27.98389	21547.22450	70.88406	
2014:01:14::01:04:28:060	-27.28050	21820.21543	71.13435	
2014:01:14::01:04:28:310	-27.05186	22123.49580	71.23556	
2014:01:14::01:04:28:560	-24.86811	22203.15524	71.75847	
2014:01:14::01:04:28:810	-24.16556	22561.86210	72.28139	
2014:01:14::01:04:29:060	-21.15709	22969.53468	72.36851	
2014:01:14::01:04:29:310	-21.10606	22981.08937	72.43834	
2014:01:14::01:04:29:560	-20.37492	23455.05666	72.87315	
2014:01:14::01:04:29:811	-17.83687	23906.08690	73.05554	
2014:01:14::01:04:30:061	-17.45654	24046.54417	73.23793	
2014:01:14::01:04:30:311	-16.54613	24056.48033	73.46608	
2014:01:14::01:04:30:561	-13.41628	24108.26638	73.52274	
2014:01:14::01:04:30:812	-13.28222	24331.91916	73.72861	
2014:01:14::01:04:31:062	-11.43866	24348.81051	74.02909	
2014:01:14::01:04:31:312	-9.21928	24569.32951	74.04546	
2014:01:14::01:04:31:562	-8.39873	24601.17919	74.35349	
2014:01:14::01:04:31:812	-8.21534	24918.74048	75.00562	
2014:01:14::01:04:32:062	-7.02845	25175.19796	75.16140	
2014:01:14::01:04:32:313	-5.76149	25186.63947	75.31717	
2014:01:14::01:04:32:563	-5.17614	25772.97785	75.45234	
2014:01:14::01:04:32:813	-4.11294	25854.30412	75.45244	
2014:01:14::01:04:33:064	0.79717	25889.38686	75.52943	
2014:01:14::01:04:33:314	1.38579	26926.58631	76.08575	
2014:01:14::01:04:33:564	2.99585	27185.03562	76.64207	
2014:01:14::01:04:33:815	4.96832	27583.98996	76.66965	
2014:01:14::01:04:34:065	5.38940	27637.93730	76.76768	
2014:01:14::01:04:34:315	6.28644	28354.17474	76.98630	
2014:01:14::01:04:34:565	8.77747	28937.95663	77.52150	
2014:01:14::01:04:34:815	9.16028	29497.08166	77.64513	
2014:01:14::01:04:35:065	10.25116	29559.20597	77.66271	
2014:01:14::01:04:35:315	15.37233	29753.15519	77.71095	
2014:01:14::01:04:35:565	16.40046	29866.30614	78.49934	
2014:01:14::01:04:35:815	21.27850	29977.77614	79.13014	
2014:01:14::01:04:36:065	23.50627	30409.85931	79.72476	
